"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 29 11:07:12 CST 2020","Wed Apr 29 11:07:14 CST 2020","2133","test_case","test_login","TestLogin","","","test_findpwd","找回密码"
"passed","Wed Apr 29 11:07:14 CST 2020","Wed Apr 29 11:07:15 CST 2020","690","test_case","test_login","TestLogin","","","test_login","登录"
